Modern Slavery Registry ID,Companies House Number
27514,00649369
7240,00580128
8770,06030201
17353,00296602
9719,00678941
17716,04324081
16862,00759126
10527,01548306
9072,10361298
9207,03815417
28107,03807256
7241,05592636
18071,08309204
7242,04611064
17484,NI006648
24114,NI049695
9131,00990937
8784,IP00525R
23854,03685161
10935,02737396
17684,00465947
7244,00929621
7245,03385619
7249,11052072
7250,11129906
16790,00867626
17178,01936460
7251,05117129
9737,08087551
7252,00946880
7254,03241012
17179,01107779
24076,04013305
17354,02216271
10941,02629062
8694,01393773
24266,08055444
10401,02635489
10709,02059678
8725,08659502
22277,00447327
23631,02937374
10590,02125768
7257,09878920
7256,02554051
7258,07590616
16764,08340090
22000,02873177
8713,07629419
28206,03183918
10362,02281209
17822,04307559
10502,00580471
28166,03969110
7262,07717350
10953,OC307419
23864,03691917
17180,03057810
16765,SC578050
21116,00098677
27859,SC196331
9283,RC000151
7263,01074383
21255,02908444
9229,03941275
21404,NI010644
9147,01091883
17993,04798616
17486,02391457
10435,01065559
10792,06082846
7264,01080251
25066,01168311
8536,01040616
22280,04620624
27722,07139142
17529,03265824
24946,05848071
10283,09339823
23909,04111165
16648,06903951
7267,05135123
9160,00206132
17717,01756362
23468,04667589
18564,08654528
10370,RS007643
26742,00107189
7268,00342798
8830,04373299
23253,00813521
27540,OC307043
18534,10163813
9729,02319386
7272,01315556
27148,06624576
23429,00800471
9757,02958435
10854,SC339123
23797,SC044986
24750,01837492
7273,06709708
24594,08474400
22657,01478292
22638,04675821
21514,02334308
7275,05525931
16980,OC300389
27735,02428180
18556,SC206369
9304,04726084
26431,06312831
8537,09595911
17530,02141256
18622,02743776
27996,04728421
17531,02650590
7296,SC005830
21994,00316151
27081,SC388209
21248,02859789
7281,OC317852
10000,01195803
21418,02815777
26872,05671277
19027,01858644
17183,04616794
7322,00184594
9408,09162741
19028,09203980
10096,03067616
22635,NI025356
9715,00852773
26491,01847748
8539,03456891
28803,06088792
9783,06537773
7287,01024371
17534,00924113
7288,02142070
8931,00051702
8540,02021233
24933,02670127
21162,03230866
10402,01769822
7289,01056774
17719,01295221
16922,00979390
18711,06189407
8541,03457687
22885,05958505
7293,08036012
27965,02312632
18032,04346861
22105,06541251
25550,06665444
7294,SC053773
9629,08670888
24486,07597648
17617,01902154
10538,00432417
10819,01202866
7295,02938988
7372,NI010293
17278,02052212
23906,03929354
25185,05141591
17871,01777183
21287,00467637
9734,SC404391
19032,03140144
10729,03369634
18733,03003995
22847,04639760
27862,02188064
22359,NI014427
7306,01293493
7300,08802601
18822,06842516
22595,02893066
7302,02380043
7301,03834125
25624,02148529
18409,02186392
26257,04863237
22548,02416083
7308,OC303675
22943,02627811
7310,09442207
18285,06760049
7311,09186034
18038,00460938
9725,03794455
18531,01138891
7312,OC322045
9376,01939690
27039,04668140
21815,04380984
25307,01897504
21499,01153094
10211,00395623
8542,01819699
25149,03147628
21339,00991848
21682,02482580
25414,04553750
9681,02711141
18813,04293908
16981,00612799
26531,03951860
24156,07466618
24497,02077752
7313,SC129785
22387,01063766
17009,SC333566
10842,07236769
22858,03721777
7314,01184988
19041,01651261
7315,00023307
8706,02486024
7316,03505161
24404,02531054
28764,04375679
27768,02353649
27767,05071128
24213,09282450
18706,SC211045
23441,01683232
9827,00414098
27254,09938882
21095,08927855
18103,SC177425
9780,04569346
19042,05535029
17347,02569601
19044,03762826
27200,03640526
27687,SC079886
21623,01378777
25420,02387949
19040,00745839
10580,03899848
8944,02280426
21658,NI039068
26749,01336601
9640,03020822
26467,06574767
26468,01095091
6896,02008246
25591,05029900
16985,05298340
17419,00754472
18486,05993481
7319,07105905
7320,OC305357
25856,09023753
22588,01030108
19045,SC436654
17720,SC010975
27156,09969891
9726,02586022
21872,00355559
7325,03701758
7326,01156896
10613,01363137
19046,07047520
25615,SC099182
9659,04916153
9778,01571914
21521,08805834
9854,05651556
10924,03803848
25548,01823605
22097,01229635
9664,01177822
7330,01156193
16766,02151325
22025,06397939
22111,SC307493
16633,02381612
22604,00537161
26206,07204046
8547,00732993
10334,02678750
19048,04293376
9666,04310199
16711,04562711
7333,04201917
9771,00570630
7334,05562053
22676,08079257
25940,07998509
21220,04340383
21753,00221355
17532,08982933
18819,07877845
21291,00504877
7337,02266325
7336,01377658
27804,02669935
10389,02763682
28108,03540129
19050,03871825
25160,04787080
21348,04302563
26434,00294023
17320,00160043
7338,NI059523
9883,04708277
9163,00160251
21288,03226333
8804,02388853
27546,04051222
26402,07434033
27184,02558215
